caseid,start,end,imp_misconduct,imp_private_gain,imp_monitor_opponents,imp_equal_rights,imp_journalists,imp_private_violence,imp_free_speech,imp_patriotism,imp_foreign_influence,imp_ban_ideology,imp_voting_rights,imp_votes_impact,imp_election_fraud,imp_expand_executive,imp_legislature_check,imp_judiciary_check,imp_judicial_ind,imp_participation,imp_funds_transparent,imp_contributions,imp_opinions,imp_districts,imp_common_und,imp_compromise,imp_candidates_disclose,imp_protest,imp_investigations,perf_misconduct,perf_private_gain,perf_monitor_opponents,perf_equal_rights,perf_journalists,perf_private_violence,perf_free_speech,perf_patriotism,perf_foreign_influence,perf_ban_ideology,perf_voting_rights,perf_votes_impact,perf_election_fraud,perf_expand_executive,perf_legislature_check,perf_judiciary_check,perf_judicial_ind,perf_participation,perf_funds_transparent,perf_contributions,perf_opinions,perf_districts,perf_common_und,perf_compromise,perf_candidates_disclose,perf_protest,perf_investigations,US_2017_SEPT,faculty_rank,field,wave,imp_science,imp_restraint,perf_science,perf_restraint,US_2017_FEB,US_2017_MAY,US_2015,US_2005,US_1995,US_1985,US_1975,US_1950,US_1900,US_1850,US_1800,democracy_importance,US_democracy_rating
W1BLW0000694,2017-02-13 17:10:56,2017-02-13 17:16:10,3,1,2,3,2,3,3,1,2,3,3,1,3,3,3,3,3,,,,,,,,,,,3,3,4,3,3,4,4,2,3,4,4,2,4,2,3,4,4,,,,,,,,,,,,,,1,2,3,2,3,80,,,,,,,,,,,,
W1BLW0000817,2017-02-13 16:57:20,2017-02-13 17:17:10,2,2,2,3,2,2,3,1,1,2,2,2,3,3,3,3,2,,,,,,,,,,,2,1,4,4,2,2,4,1,1,4,3,2,3,,,,1,,,,,,,,,,,,,,1,2,1,1,1,70,,,,,,,,,,,,
W1BLW0000245,2017-02-13 17:11:34,2017-02-13 17:17:58,0,0,0,2,1,3,0,1,0,1,2,2,1,0,0,1,0,,,,,,,,,,,3,2,1,1,3,4,3,1,3,1,1,1,3,1,1,4,3,,,,,,,,,,,,,,1,0,0,3,1,90,,,,,,,,,,,,
W1BLW0000855,2017-02-13 17:13:59,2017-02-13 17:18:02,2,2,3,3,3,1,3,1,2,2,3,2,3,3,3,3,3,,,,,,,,,,,2,2,3,4,3,2,3,1,1,4,3,2,3,3,4,4,2,,,,,,,,,,,,,,1,1,2,1,1,70,,,,,,,,,,,,
W1BLW0000688,2017-02-13 17:08:31,2017-02-13 17:18:26,2,1,3,3,3,2,3,1,2,3,3,3,3,2,3,2,2,,,,,,,,,,,2,2,3,4,4,3,4,1,3,4,3,2,4,4,4,4,2,,,,,,,,,,,,,,1,1,1,1,1,70,,,,,,,,,,,,
W1BLW0000546,2017-02-13 17:11:48,2017-02-13 17:18:56,2,2,3,3,3,2,3,1,3,3,3,3,3,1,2,2,2,,,,,,,,,,,2,1,3,2,1,3,3,1,3,4,3,2,4,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,1,70,,,,,,,,,,,,
W1BLW0000831,2017-02-13 17:15:40,2017-02-13 17:20:33,1,1,2,3,3,1,2,0,1,3,2,1,3,3,2,3,3,,,,,,,,,,,3,3,3,4,3,3,3,2,3,4,4,2,4,4,3,4,4,,,,,,,,,,,,,,1,0,1,2,2,90,,,,,,,,,,,,
W1BLW0000439,2017-02-13 17:16:00,2017-02-13 17:23:45,2,3,2,0,2,3,2,1,1,2,2,2,2,1,2,2,2,,,,,,,,,,,3,3,2,3,2,3,3,1,2,,1,2,3,2,2,3,3,,,,,,,,,,,,,,1,1,1,3,2,80,,,,,,,,,,,,
W1BLW0000454,2017-02-13 17:19:00,2017-02-13 17:24:44,3,2,3,3,3,3,3,1,3,2,3,1,3,1,1,3,2,,,,,,,,,,,3,2,3,3,3,4,4,1,3,4,3,1,4,3,3,4,4,,,,,,,,,,,,,,1,2,1,2,3,80,,,,,,,,,,,,
W1BLW0000490,2017-02-13 17:23:13,2017-02-13 17:28:32,3,2,3,3,2,3,3,2,3,2,3,1,3,3,3,3,2,,,,,,,,,,,3,1,3,2,2,3,2,2,2,4,1,1,4,3,3,3,2,,,,,,,,,,,,,,1,2,2,1,2,70,,,,,,,,,,,,
W1BLW0000609,2017-02-13 17:23:05,2017-02-13 17:31:14,3,2,3,2,3,1,3,0,1,3,2,2,3,3,2,2,3,,,,,,,,,,,3,2,3,2,3,3,3,1,3,3,2,1,3,3,2,3,3,,,,,,,,,,,,,,1,1,2,2,2,60,,,,,,,,,,,,
W1BLW0000924,2017-02-13 17:28:37,2017-02-13 17:33:07,2,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,,,,,,,,,,,2,3,3,3,3,3,3,1,,4,3,2,4,4,3,3,3,,,,,,,,,,,,,,1,2,2,3,3,80,,,,,,,,,,,,
W1BLW0000296,2017-02-13 17:21:17,2017-02-13 17:33:14,2,3,3,2,2,2,2,1,1,1,3,2,3,2,2,2,2,,,,,,,,,,,3,3,3,3,3,3,3,2,3,2,2,2,4,3,3,,4,,,,,,,,,,,,,,1,2,2,3,2,80,,,,,,,,,,,,
W1BLW0000380,2017-02-13 17:32:36,2017-02-13 17:37:40,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,2,2,3,2,2,2,3,2,2,3,1,3,3,3,2,3,3,,,,,,,,,,,,,,1,3,3,1,2,70,,,,,,,,,,,,
W1BLW0000729,2017-02-13 17:33:13,2017-02-13 17:40:29,3,1,3,1,2,2,1,2,2,1,1,3,3,2,3,2,3,,,,,,,,,,,2,1,3,1,1,3,2,1,1,2,1,2,2,2,4,2,2,,,,,,,,,,,,,,1,1,2,1,1,40,,,,,,,,,,,,
W1BLW0000805,2017-02-13 17:37:32,2017-02-13 17:42:00,3,1,3,3,3,3,2,1,3,3,2,2,3,3,2,3,3,,,,,,,,,,,,,4,2,,3,4,1,3,2,3,1,4,,2,,,,,,,,,,,,,,,,1,1,1,1,,50,,,,,,,,,,,,
W1BLW0000640,2017-02-13 17:36:32,2017-02-13 17:49:32,1,0,0,2,2,2,2,1,1,1,2,1,2,2,2,2,3,,,,,,,,,,,3,1,1,1,3,2,2,2,4,2,2,3,4,4,4,4,3,,,,,,,,,,,,,,1,1,0,2,1,70,,,,,,,,,,,,
W1BLW0000574,2017-02-13 17:40:52,2017-02-13 17:49:58,2,2,3,3,3,1,3,1,2,2,3,2,3,1,3,2,2,,,,,,,,,,,3,2,3,3,3,3,3,1,3,4,2,1,4,3,2,3,3,,,,,,,,,,,,,,1,1,1,1,1,70,,,,,,,,,,,,
W1BLW0000771,2017-02-13 17:44:52,2017-02-13 17:50:58,2,2,2,3,3,3,3,1,2,1,3,2,3,3,3,2,3,,,,,,,,,,,3,2,3,3,3,3,3,1,2,4,3,1,4,2,3,3,3,,,,,,,,,,,,,,1,1,2,1,1,80,,,,,,,,,,,,
W1BLW0000745,2017-02-13 17:48:20,2017-02-13 17:52:58,2,1,2,3,2,2,2,1,2,1,2,3,3,2,2,2,2,,,,,,,,,,,2,2,2,3,3,2,3,2,2,3,2,2,4,2,3,3,3,,,,,,,,,,,,,,1,1,2,2,3,80,,,,,,,,,,,,
W1BLW0000354,2017-02-13 17:50:35,2017-02-13 17:54:40,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,,,,,,,,,,,3,2,4,3,3,4,3,2,2,4,3,1,2,3,3,3,3,,,,,,,,,,,,,,1,2,2,2,2,70,,,,,,,,,,,,
W1BLW0000529,2017-02-13 17:48:36,2017-02-13 17:55:43,2,2,3,3,3,3,3,0,2,3,3,2,3,3,2,3,3,,,,,,,,,,,3,2,4,3,4,3,3,1,3,3,3,1,4,3,2,3,3,,,,,,,,,,,,,,1,1,1,2,1,80,,,,,,,,,,,,
W1BLW0000197,2017-02-13 17:48:38,2017-02-13 17:56:47,1,2,3,3,2,2,2,1,2,2,2,1,3,3,2,3,3,,,,,,,,,,,2,2,4,3,3,4,3,2,3,4,3,2,4,3,2,3,3,,,,,,,,,,,,,,1,1,2,2,2,70,,,,,,,,,,,,
W1BLW0000311,2017-02-13 17:41:39,2017-02-13 17:57:41,2,1,3,2,3,3,2,2,1,2,1,1,3,1,1,2,2,,,,,,,,,,,1,1,2,1,2,1,,1,2,2,1,1,3,2,2,2,1,,,,,,,,,,,,,,1,2,3,1,1,30,,,,,,,,,,,,
W1BLW0000765,2017-02-13 17:55:14,2017-02-13 17:58:06,2,2,2,3,3,1,3,1,3,3,3,3,3,2,2,2,2,,,,,,,,,,,3,2,2,3,2,3,3,1,4,3,3,2,3,3,3,4,4,,,,,,,,,,,,,,1,1,2,2,3,70,,,,,,,,,,,,
W1BLW0000337,2017-02-13 18:25:11,2017-02-13 18:28:18,1,2,1,2,1,1,2,0,0,1,3,1,2,3,3,3,3,,,,,,,,,,,3,3,3,4,2,3,3,1,2,4,1,1,2,2,3,3,2,,,,,,,,,,,,,,1,1,1,1,2,70,,,,,,,,,,,,
W1BLW0000718,2017-02-13 18:30:20,2017-02-13 18:39:53,2,2,3,3,1,0,2,2,3,3,2,2,3,2,1,1,1,,,,,,,,,,,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,,,,,,,,,,,,,,1,2,1,3,4,90,,,,,,,,,,,,
W1BLW0000117,2017-02-13 17:35:16,2017-02-13 18:40:04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,1,3,3,2,1,40,,,,,,,,,,,,
W1BLW0000832,2017-02-13 18:31:26,2017-02-13 18:40:11,3,2,3,3,3,3,3,2,,3,3,2,3,3,3,3,3,,,,,,,,,,,2,1,4,1,2,2,3,1,,2,,,4,,3,4,2,,,,,,,,,,,,,,1,3,3,1,2,70,,,,,,,,,,,,
W1BLW0000625,2017-02-13 18:31:48,2017-02-13 18:45:11,2,1,3,3,2,2,2,1,2,3,3,2,3,0,2,2,2,,,,,,,,,,,1,2,2,3,3,3,3,2,3,4,2,1,4,1,4,3,4,,,,,,,,,,,,,,1,1,2,2,1,60,,,,,,,,,,,,
W1BLW0000851,2017-02-13 18:40:11,2017-02-13 18:50:07,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,2,2,3,3,2,2,3,1,3,3,1,2,3,2,2,3,,,,,,,,,,,,,,1,2,3,3,3,70,,,,,,,,,,,,
W1BLW0000816,2017-02-13 18:46:32,2017-02-13 18:56:46,3,2,2,3,2,3,2,1,2,2,3,3,3,3,3,2,3,,,,,,,,,,,2,2,3,2,3,4,3,1,2,4,2,1,4,3,2,3,3,,,,,,,,,,,,,,1,2,2,1,2,70,,,,,,,,,,,,
W1BLW0000392,2017-02-13 19:08:37,2017-02-13 19:15:20,3,3,2,3,3,2,3,1,3,2,2,3,3,3,3,3,2,,,,,,,,,,,1,1,1,1,2,1,3,1,1,3,1,3,1,1,2,3,1,,,,,,,,,,,,,,1,2,1,1,1,30,,,,,,,,,,,,
W1BLW0001106,2017-02-13 19:13:26,2017-02-13 19:19:22,1,1,2,1,3,3,2,1,1,2,1,1,3,2,2,1,2,,,,,,,,,,,2,2,2,1,2,2,2,1,3,2,1,1,3,1,2,2,2,,,,,,,,,,,,,,1,1,1,1,1,40,,,,,,,,,,,,
W1BLW0000614,2017-02-13 19:11:20,2017-02-13 19:23:47,1,0,1,2,2,3,3,1,0,3,2,2,3,2,3,3,2,,,,,,,,,,,3,1,4,2,3,4,4,1,2,4,1,1,3,3,4,4,2,,,,,,,,,,,,,,1,1,0,1,1,70,,,,,,,,,,,,
W1BLW0000834,2017-02-13 20:00:34,2017-02-13 20:11:37,3,3,2,3,3,3,3,1,2,3,3,3,3,3,2,2,1,,,,,,,,,,,2,2,2,1,3,3,3,2,3,3,1,4,4,3,2,3,4,,,,,,,,,,,,,,1,0,1,1,1,60,,,,,,,,,,,,
W1BLW0000815,2017-02-13 20:09:24,2017-02-13 20:16:18,2,3,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3,,,,,,,,,,,2,2,2,2,2,2,3,1,1,2,2,3,3,2,2,2,2,,,,,,,,,,,,,,1,2,3,2,1,70,,,,,,,,,,,,
W1BLW0000265,2017-02-13 20:09:44,2017-02-13 20:22:28,2,2,3,3,2,2,3,3,2,2,3,3,3,3,3,2,2,,,,,,,,,,,,,,2,,2,4,1,3,4,1,,4,,,,,,,,,,,,,,,,,,1,1,1,,2,60,,,,,,,,,,,,
W1BLW0000360,2017-02-13 20:24:12,2017-02-13 20:29:03,3,3,3,1,2,3,3,2,2,2,1,0,3,1,3,2,3,,,,,,,,,,,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,1,1,3,3,3,80,,,,,,,,,,,,
W1BLW0000468,2017-02-13 20:30:43,2017-02-13 20:37:20,3,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,4,3,1,2,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,1,2,3,1,2,80,,,,,,,,,,,,
W1BLW0000571,2017-02-13 21:11:09,2017-02-13 21:18:54,2,3,2,3,3,3,3,1,2,3,3,3,3,2,3,3,3,,,,,,,,,,,3,2,3,3,3,4,4,2,3,4,3,4,3,3,3,4,3,,,,,,,,,,,,,,1,3,1,2,2,70,,,,,,,,,,,,
W1BLW0000272,2017-02-13 21:12:32,2017-02-13 21:20:55,2,2,3,2,3,2,3,1,2,3,3,3,3,3,2,3,3,,,,,,,,,,,2,2,4,3,4,3,4,1,3,4,2,1,4,2,2,4,3,,,,,,,,,,,,,,1,1,1,2,1,80,,,,,,,,,,,,
W1BLW0000768,2017-02-13 21:28:26,2017-02-13 21:34:20,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,,,,,,,,,,,3,1,1,4,2,3,3,1,,,4,1,4,1,1,3,2,,,,,,,,,,,,,,1,2,2,1,1,30,,,,,,,,,,,,
W1BLW0000381,2017-02-13 21:54:30,2017-02-13 21:59:58,3,3,3,3,3,2,2,1,3,3,3,3,3,2,2,3,3,,,,,,,,,,,2,2,2,1,3,3,3,1,1,3,2,2,2,3,2,3,2,,,,,,,,,,,,,,1,3,3,2,2,40,,,,,,,,,,,,
W1BLW0000701,2017-02-13 21:56:24,2017-02-13 22:05:51,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,,,,,,,,,,,2,1,2,1,2,4,3,1,1,4,1,1,4,1,2,2,3,,,,,,,,,,,,,,1,2,3,1,2,50,,,,,,,,,,,,
W1BLW0000207,2017-02-13 22:10:54,2017-02-13 22:14:47,3,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,2,4,2,1,3,4,2,2,4,2,3,3,3,,,,,,,,,,,,,,1,2,2,2,2,70,,,,,,,,,,,,
W1BLW0000592,2017-02-13 22:09:43,2017-02-13 22:17:53,3,2,3,3,3,2,3,1,2,3,1,1,3,3,3,3,3,,,,,,,,,,,2,1,3,3,2,4,3,1,3,3,3,1,3,1,3,3,3,,,,,,,,,,,,,,1,1,2,2,2,80,,,,,,,,,,,,
W1BLW0000602,2017-02-13 22:33:43,2017-02-13 22:39:24,2,2,3,3,2,3,2,1,1,3,2,0,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,,,,,,,,,,,,,,1,1,1,2,1,80,,,,,,,,,,,,
W1BLW0000900,2017-02-13 22:34:22,2017-02-13 22:42:48,2,2,2,2,2,2,3,1,2,3,3,2,3,3,3,3,,,,,,,,,,,,3,3,3,4,3,3,4,2,3,4,3,3,4,3,3,3,,,,,,,,,,,,,,,1,1,2,2,2,90,,,,,,,,,,,,
W1BLW0000735,2017-02-13 22:35:22,2017-02-13 22:43:14,3,2,3,2,3,3,3,1,2,3,2,2,3,3,2,3,3,,,,,,,,,,,3,1,3,1,3,4,4,2,3,4,2,3,4,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,1,80,,,,,,,,,,,,
W1BLW0000422,2017-02-13 22:35:50,2017-02-13 22:44:01,3,3,3,3,2,3,2,2,2,3,3,3,3,2,3,3,3,,,,,,,,,,,3,2,2,2,3,3,3,1,3,3,1,3,3,2,3,3,3,,,,,,,,,,,,,,1,2,3,2,2,70,,,,,,,,,,,,
W1BLW0000856,2017-02-14 00:18:25,2017-02-14 00:23:02,3,3,3,3,3,2,3,2,3,2,3,2,3,3,3,3,3,,,,,,,,,,,3,2,2,3,2,4,3,2,3,4,2,3,4,2,3,3,3,,,,,,,,,,,,,,1,3,2,2,2,80,,,,,,,,,,,,
W1BLW0001065,2017-02-14 06:40:59,2017-02-14 06:47:46,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,,,,,,,,,,,2,2,2,2,2,2,1,3,3,3,1,2,4,3,2,3,3,,,,,,,,,,,,,,1,1,2,2,2,60,,,,,,,,,,,,
W1BLW0000858,2017-02-14 08:27:13,2017-02-14 08:32:23,1,2,3,2,3,3,3,1,2,3,3,2,3,3,3,3,3,,,,,,,,,,,2,2,2,3,3,3,3,1,1,4,2,1,4,3,2,2,2,,,,,,,,,,,,,,1,2,1,1,1,70,,,,,,,,,,,,
W1BLW0000686,2017-02-14 08:38:15,2017-02-14 08:43:17,2,2,2,3,3,3,3,1,3,2,3,3,3,2,2,1,2,,,,,,,,,,,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,1,0,2,4,3,90,,,,,,,,,,,,
W1BLW0000558,2017-02-14 08:28:13,2017-02-14 08:44:58,2,1,2,2,2,2,1,1,2,1,2,0,1,2,1,2,2,,,,,,,,,,,3,4,4,3,3,3,3,3,3,4,3,3,3,3,2,4,3,,,,,,,,,,,,,,1,1,1,3,3,90,,,,,,,,,,,,
W1BLW0000270,2017-02-14 08:44:51,2017-02-14 08:49:01,1,1,2,1,1,1,1,1,2,2,3,3,3,2,1,1,1,,,,,,,,,,,3,2,3,3,3,4,3,2,4,4,3,4,3,4,4,3,4,,,,,,,,,,,,,,1,1,1,3,2,80,,,,,,,,,,,,
W1BLW0000174,2017-02-14 08:50:26,2017-02-14 08:59:47,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,,,,,,,,,,,1,1,2,2,1,1,3,1,1,4,1,4,2,2,3,3,2,,,,,,,,,,,,,,1,1,2,1,1,70,,,,,,,,,,,,
W1BLW0001078,2017-02-14 09:00:43,2017-02-14 09:06:29,2,2,3,2,1,2,1,3,2,2,1,2,2,3,3,1,0,,,,,,,,,,,4,4,2,2,4,3,3,4,2,2,3,2,4,4,,2,2,,,,,,,,,,,,,,1,2,2,1,4,80,,,,,,,,,,,,
W1BLW0000681,2017-02-14 06:26:50,2017-02-14 09:07:34,2,1,2,3,2,3,3,1,1,3,3,3,3,2,2,2,2,,,,,,,,,,,2,2,3,1,3,3,3,2,1,3,2,1,4,3,3,3,3,,,,,,,,,,,,,,1,1,2,1,1,80,,,,,,,,,,,,
W1BLW0000743,2017-02-14 09:00:14,2017-02-14 09:08:59,2,2,3,3,2,2,2,1,2,2,2,1,2,3,3,3,2,,,,,,,,,,,3,1,3,3,3,3,3,1,3,4,3,1,3,1,2,3,3,,,,,,,,,,,,,,1,1,3,3,2,70,,,,,,,,,,,,
W1BLW0000515,2017-02-14 09:11:04,2017-02-14 09:17:19,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,,,,,,,,,,,2,2,1,1,2,2,1,1,1,3,1,1,4,1,1,2,2,,,,,,,,,,,,,,1,3,3,1,1,30,,,,,,,,,,,,
W1BLW0000676,2017-02-14 09:31:59,2017-02-14 09:34:04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,,,50,,,,,,,,,,,,
W1BLW0000630,2017-02-14 09:29:44,2017-02-14 09:39:28,1,2,2,3,3,2,3,1,2,3,3,1,3,3,2,3,3,,,,,,,,,,,2,1,,3,1,3,2,1,1,3,3,2,4,,,,1,,,,,,,,,,,,,,1,1,2,1,1,60,,,,,,,,,,,,
W1BLW0000241,2017-02-14 09:34:32,2017-02-14 09:39:37,2,1,2,2,3,3,3,1,2,3,2,2,3,3,3,2,2,,,,,,,,,,,3,1,4,1,4,4,4,1,2,4,3,1,4,4,4,4,3,,,,,,,,,,,,,,1,2,2,2,2,80,,,,,,,,,,,,
W1BLW0000484,2017-02-14 09:16:37,2017-02-14 09:49:30,3,2,2,3,2,3,2,1,2,3,3,3,3,2,3,3,2,,,,,,,,,,,2,1,3,3,2,4,2,1,3,3,1,1,4,2,2,3,1,,,,,,,,,,,,,,1,2,1,1,1,60,,,,,,,,,,,,
W1BLW0000707,2017-02-14 09:50:39,2017-02-14 09:59:56,3,2,2,3,3,3,3,0,0,3,2,2,3,3,0,1,3,,,,,,,,,,,3,3,3,2,3,3,3,2,3,4,3,1,3,4,4,4,4,,,,,,,,,,,,,,1,1,1,2,2,70,,,,,,,,,,,,
W1BLW0000585,2017-02-14 10:06:02,2017-02-14 10:09:48,2,0,2,2,2,3,2,1,1,3,2,1,3,3,3,3,1,,,,,,,,,,,2,1,2,1,3,3,4,1,1,4,1,1,3,2,3,3,3,,,,,,,,,,,,,,1,0,1,1,1,40,,,,,,,,,,,,
W1BLW0000369,2017-02-14 10:22:53,2017-02-14 10:26:33,2,2,3,3,3,2,3,2,3,2,3,3,3,2,2,2,3,,,,,,,,,,,2,1,2,1,3,2,3,1,2,2,1,2,4,2,2,3,1,,,,,,,,,,,,,,1,1,2,2,1,80,,,,,,,,,,,,
W1BLW0000657,2017-02-14 10:26:14,2017-02-14 10:34:18,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,,,,,,,,,,,1,2,2,1,2,2,2,1,2,4,3,1,2,3,2,3,1,,,,,,,,,,,,,,1,2,2,2,1,70,,,,,,,,,,,,
W1BLW0000919,2017-02-14 11:20:24,2017-02-14 11:29:06,2,2,3,3,3,3,3,2,2,2,3,2,3,3,2,3,3,,,,,,,,,,,2,1,3,2,1,4,3,1,3,3,2,1,4,3,3,3,3,,,,,,,,,,,,,,1,1,2,1,2,70,,,,,,,,,,,,
