caseid,start,end,imp_misconduct,imp_private_gain,imp_monitor_opponents,imp_equal_rights,imp_journalists,imp_private_violence,imp_free_speech,imp_patriotism,imp_foreign_influence,imp_ban_ideology,imp_voting_rights,imp_votes_impact,imp_election_fraud,imp_expand_executive,imp_legislature_check,imp_judiciary_check,imp_judicial_ind,imp_participation,imp_funds_transparent,imp_contributions,imp_opinions,imp_districts,imp_common_und,imp_compromise,imp_candidates_disclose,imp_protest,imp_investigations,perf_misconduct,perf_private_gain,perf_monitor_opponents,perf_equal_rights,perf_journalists,perf_private_violence,perf_free_speech,perf_patriotism,perf_foreign_influence,perf_ban_ideology,perf_voting_rights,perf_votes_impact,perf_election_fraud,perf_expand_executive,perf_legislature_check,perf_judiciary_check,perf_judicial_ind,perf_participation,perf_funds_transparent,perf_contributions,perf_opinions,perf_districts,perf_common_und,perf_compromise,perf_candidates_disclose,perf_protest,perf_investigations,US_2017_SEPT,faculty_rank,field,wave,imp_science,imp_restraint,perf_science,perf_restraint,US_2017_FEB,US_2017_MAY,US_2015,US_2005,US_1995,US_1985,US_1975,US_1950,US_1900,US_1850,US_1800,democracy_importance,US_democracy_rating
W1BLW0000245,2017-02-13 17:11:34,2017-02-13 17:17:58,Not relevant,Not relevant,Not relevant,Important,Beneficial,Essential,Not relevant,Beneficial,Not relevant,Beneficial,Important,Important,Beneficial,Not relevant,Not relevant,Beneficial,Not relevant,,,,,,,,,,,Mostly meets,Partly meets,Does not meet,Does not meet,Mostly meets,Fully meets,Mostly meets,Does not meet,Mostly meets,Does not meet,Does not meet,Does not meet,Mostly meets,Does not meet,Does not meet,Fully meets,Mostly meets,,,,,,,,,,,,,,1,Not relevant,Not relevant,Mostly meets,Does not meet,90,,,,,,,,,,,,
W1BLW0000855,2017-02-13 17:13:59,2017-02-13 17:18:02,Important,Important,Essential,Essential,Essential,Beneficial,Essential,Beneficial,Important,Important,Essential,Important,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Partly meets,Partly meets,Mostly meets,Fully meets,Mostly meets,Partly meets,Mostly meets,Does not meet,Does not meet,Fully meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,Fully meets,Fully meets,Partly meets,,,,,,,,,,,,,,1,Beneficial,Important,Does not meet,Does not meet,70,,,,,,,,,,,,
W1BLW0000688,2017-02-13 17:08:31,2017-02-13 17:18:26,Important,Beneficial,Essential,Essential,Essential,Important,Essential,Beneficial,Important,Essential,Essential,Essential,Essential,Important,Essential,Important,Important,,,,,,,,,,,Partly meets,Partly meets,Mostly meets,Fully meets,Fully meets,Mostly meets,Fully meets,Does not meet,Mostly meets,Fully meets,Mostly meets,Partly meets,Fully meets,Fully meets,Fully meets,Fully meets,Partly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Does not meet,Does not meet,70,,,,,,,,,,,,
W1BLW0000546,2017-02-13 17:11:48,2017-02-13 17:18:56,Important,Important,Essential,Essential,Essential,Important,Essential,Beneficial,Essential,Essential,Essential,Essential,Essential,Beneficial,Important,Important,Important,,,,,,,,,,,Partly meets,Does not meet,Mostly meets,Partly meets,Does not meet,Mostly meets,Mostly meets,Does not meet,Mostly meets,Fully meets,Mostly meets,Partly meets,Fully meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Does not meet,Does not meet,70,,,,,,,,,,,,
W1BLW0000831,2017-02-13 17:15:40,2017-02-13 17:20:33,Beneficial,Beneficial,Important,Essential,Essential,Beneficial,Important,Not relevant,Beneficial,Essential,Important,Beneficial,Essential,Essential,Important,Essential,Essential,,,,,,,,,,,Mostly meets,Mostly meets,Mostly meets,Fully meets,Mostly meets,Mostly meets,Mostly meets,Partly meets,Mostly meets,Fully meets,Fully meets,Partly meets,Fully meets,Fully meets,Mostly meets,Fully meets,Fully meets,,,,,,,,,,,,,,1,Not relevant,Beneficial,Partly meets,Partly meets,90,,,,,,,,,,,,
W1BLW0000439,2017-02-13 17:16:00,2017-02-13 17:23:45,Important,Essential,Important,Not relevant,Important,Essential,Important,Beneficial,Beneficial,Important,Important,Important,Important,Beneficial,Important,Important,Important,,,,,,,,,,,Mostly meets,Mostly meets,Partly meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,Does not meet,Partly meets,,Does not meet,Partly meets,Mostly meets,Partly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Mostly meets,Partly meets,80,,,,,,,,,,,,
W1BLW0000454,2017-02-13 17:19:00,2017-02-13 17:24:44,Essential,Important,Essential,Essential,Essential,Essential,Essential,Beneficial,Essential,Important,Essential,Beneficial,Essential,Beneficial,Beneficial,Essential,Important,,,,,,,,,,,Mostly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,Fully meets,Fully meets,Does not meet,Mostly meets,Fully meets,Mostly meets,Does not meet,Fully meets,Mostly meets,Mostly meets,Fully meets,Fully meets,,,,,,,,,,,,,,1,Important,Beneficial,Partly meets,Mostly meets,80,,,,,,,,,,,,
W1BLW0000490,2017-02-13 17:23:13,2017-02-13 17:28:32,Essential,Important,Essential,Essential,Important,Essential,Essential,Important,Essential,Important,Essential,Beneficial,Essential,Essential,Essential,Essential,Important,,,,,,,,,,,Mostly meets,Does not meet,Mostly meets,Partly meets,Partly meets,Mostly meets,Partly meets,Partly meets,Partly meets,Fully meets,Does not meet,Does not meet,Fully meets,Mostly meets,Mostly meets,Mostly meets,Partly meets,,,,,,,,,,,,,,1,Important,Important,Does not meet,Partly meets,70,,,,,,,,,,,,
W1BLW0000609,2017-02-13 17:23:05,2017-02-13 17:31:14,Essential,Important,Essential,Important,Essential,Beneficial,Essential,Not relevant,Beneficial,Essential,Important,Important,Essential,Essential,Important,Important,Essential,,,,,,,,,,,Mostly meets,Partly meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,Does not meet,Mostly meets,Mostly meets,Partly meets,Does not meet,Mostly meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Important,Partly meets,Partly meets,60,,,,,,,,,,,,
W1BLW0000924,2017-02-13 17:28:37,2017-02-13 17:33:07,Important,Essential,Essential,Essential,Essential,Essential,Essential,Beneficial,Essential,Essential,Essential,Important,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Partly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Does not meet,,Fully meets,Mostly meets,Partly meets,Fully meets,Fully meets,Mostly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Important,Important,Mostly meets,Mostly meets,80,,,,,,,,,,,,
W1BLW0000296,2017-02-13 17:21:17,2017-02-13 17:33:14,Important,Essential,Essential,Important,Important,Important,Important,Beneficial,Beneficial,Beneficial,Essential,Important,Essential,Important,Important,Important,Important,,,,,,,,,,,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Partly meets,Mostly meets,Partly meets,Partly meets,Partly meets,Fully meets,Mostly meets,Mostly meets,,Fully meets,,,,,,,,,,,,,,1,Important,Important,Mostly meets,Partly meets,80,,,,,,,,,,,,
W1BLW0000380,2017-02-13 17:32:36,2017-02-13 17:37:40,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Partly meets,Partly meets,Mostly meets,Partly meets,Partly meets,Partly meets,Mostly meets,Partly meets,Partly meets,Mostly meets,Does not meet,Mostly meets,Mostly meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Essential,Essential,Does not meet,Partly meets,70,,,,,,,,,,,,
W1BLW0000729,2017-02-13 17:33:13,2017-02-13 17:40:29,Essential,Beneficial,Essential,Beneficial,Important,Important,Beneficial,Important,Important,Beneficial,Beneficial,Essential,Essential,Important,Essential,Important,Essential,,,,,,,,,,,Partly meets,Does not meet,Mostly meets,Does not meet,Does not meet,Mostly meets,Partly meets,Does not meet,Does not meet,Partly meets,Does not meet,Partly meets,Partly meets,Partly meets,Fully meets,Partly meets,Partly meets,,,,,,,,,,,,,,1,Beneficial,Important,Does not meet,Does not meet,40,,,,,,,,,,,,
W1BLW0000805,2017-02-13 17:37:32,2017-02-13 17:42:00,Essential,Beneficial,Essential,Essential,Essential,Essential,Important,Beneficial,Essential,Essential,Important,Important,Essential,Essential,Important,Essential,Essential,,,,,,,,,,,,,Fully meets,Partly meets,,Mostly meets,Fully meets,Does not meet,Mostly meets,Partly meets,Mostly meets,Does not meet,Fully meets,,Partly meets,,,,,,,,,,,,,,,,1,Beneficial,Beneficial,Does not meet,,50,,,,,,,,,,,,
W1BLW0000640,2017-02-13 17:36:32,2017-02-13 17:49:32,Beneficial,Not relevant,Not relevant,Important,Important,Important,Important,Beneficial,Beneficial,Beneficial,Important,Beneficial,Important,Important,Important,Important,Essential,,,,,,,,,,,Mostly meets,Does not meet,Does not meet,Does not meet,Mostly meets,Partly meets,Partly meets,Partly meets,Fully meets,Partly meets,Partly meets,Mostly meets,Fully meets,Fully meets,Fully meets,Fully meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Not relevant,Partly meets,Does not meet,70,,,,,,,,,,,,
W1BLW0000574,2017-02-13 17:40:52,2017-02-13 17:49:58,Important,Important,Essential,Essential,Essential,Beneficial,Essential,Beneficial,Important,Important,Essential,Important,Essential,Beneficial,Essential,Important,Important,,,,,,,,,,,Mostly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Does not meet,Mostly meets,Fully meets,Partly meets,Does not meet,Fully meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Does not meet,Does not meet,70,,,,,,,,,,,,
W1BLW0000771,2017-02-13 17:44:52,2017-02-13 17:50:58,Important,Important,Important,Essential,Essential,Essential,Essential,Beneficial,Important,Beneficial,Essential,Important,Essential,Essential,Essential,Important,Essential,,,,,,,,,,,Mostly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Does not meet,Partly meets,Fully meets,Mostly meets,Does not meet,Fully meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Important,Does not meet,Does not meet,80,,,,,,,,,,,,
W1BLW0000745,2017-02-13 17:48:20,2017-02-13 17:52:58,Important,Beneficial,Important,Essential,Important,Important,Important,Beneficial,Important,Beneficial,Important,Essential,Essential,Important,Important,Important,Important,,,,,,,,,,,Partly meets,Partly meets,Partly meets,Mostly meets,Mostly meets,Partly meets,Mostly meets,Partly meets,Partly meets,Mostly meets,Partly meets,Partly meets,Fully meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Important,Partly meets,Mostly meets,80,,,,,,,,,,,,
W1BLW0000354,2017-02-13 17:50:35,2017-02-13 17:54:40,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Important,Important,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Mostly meets,Partly meets,Fully meets,Mostly meets,Mostly meets,Fully meets,Mostly meets,Partly meets,Partly meets,Fully meets,Mostly meets,Does not meet,Partly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Important,Important,Partly meets,Partly meets,70,,,,,,,,,,,,
W1BLW0000529,2017-02-13 17:48:36,2017-02-13 17:55:43,Important,Important,Essential,Essential,Essential,Essential,Essential,Not relevant,Important,Essential,Essential,Important,Essential,Essential,Important,Essential,Essential,,,,,,,,,,,Mostly meets,Partly meets,Fully meets,Mostly meets,Fully meets,Mostly meets,Mostly meets,Does not meet,Mostly meets,Mostly meets,Mostly meets,Does not meet,Fully meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Partly meets,Does not meet,80,,,,,,,,,,,,
W1BLW0000197,2017-02-13 17:48:38,2017-02-13 17:56:47,Beneficial,Important,Essential,Essential,Important,Important,Important,Beneficial,Important,Important,Important,Beneficial,Essential,Essential,Important,Essential,Essential,,,,,,,,,,,Partly meets,Partly meets,Fully meets,Mostly meets,Mostly meets,Fully meets,Mostly meets,Partly meets,Mostly meets,Fully meets,Mostly meets,Partly meets,Fully meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Important,Partly meets,Partly meets,70,,,,,,,,,,,,
W1BLW0000311,2017-02-13 17:41:39,2017-02-13 17:57:41,Important,Beneficial,Essential,Important,Essential,Essential,Important,Important,Beneficial,Important,Beneficial,Beneficial,Essential,Beneficial,Beneficial,Important,Important,,,,,,,,,,,Does not meet,Does not meet,Partly meets,Does not meet,Partly meets,Does not meet,,Does not meet,Partly meets,Partly meets,Does not meet,Does not meet,Mostly meets,Partly meets,Partly meets,Partly meets,Does not meet,,,,,,,,,,,,,,1,Important,Essential,Does not meet,Does not meet,30,,,,,,,,,,,,
W1BLW0000765,2017-02-13 17:55:14,2017-02-13 17:58:06,Important,Important,Important,Essential,Essential,Beneficial,Essential,Beneficial,Essential,Essential,Essential,Essential,Essential,Important,Important,Important,Important,,,,,,,,,,,Mostly meets,Partly meets,Partly meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,Does not meet,Fully meets,Mostly meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,Fully meets,Fully meets,,,,,,,,,,,,,,1,Beneficial,Important,Partly meets,Mostly meets,70,,,,,,,,,,,,
W1BLW0000337,2017-02-13 18:25:11,2017-02-13 18:28:18,Beneficial,Important,Beneficial,Important,Beneficial,Beneficial,Important,Not relevant,Not relevant,Beneficial,Essential,Beneficial,Important,Essential,Essential,Essential,Essential,,,,,,,,,,,Mostly meets,Mostly meets,Mostly meets,Fully meets,Partly meets,Mostly meets,Mostly meets,Does not meet,Partly meets,Fully meets,Does not meet,Does not meet,Partly meets,Partly meets,Mostly meets,Mostly meets,Partly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Does not meet,Partly meets,70,,,,,,,,,,,,
W1BLW0000718,2017-02-13 18:30:20,2017-02-13 18:39:53,Important,Important,Essential,Essential,Beneficial,Not relevant,Important,Important,Essential,Essential,Important,Important,Essential,Important,Beneficial,Beneficial,Beneficial,,,,,,,,,,,Fully meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Fully meets,Fully meets,Fully meets,Fully meets,Fully meets,Fully meets,Fully meets,Mostly meets,Mostly meets,Fully meets,,,,,,,,,,,,,,1,Important,Beneficial,Mostly meets,Fully meets,90,,,,,,,,,,,,
W1BLW0000117,2017-02-13 17:35:16,2017-02-13 18:40:04,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Does not meet,Does not meet,Does not meet,Does not meet,Does not meet,Partly meets,Does not meet,Does not meet,Does not meet,Does not meet,Does not meet,Does not meet,Does not meet,Does not meet,Does not meet,Does not meet,Partly meets,,,,,,,,,,,,,,1,Essential,Essential,Partly meets,Does not meet,40,,,,,,,,,,,,
W1BLW0000832,2017-02-13 18:31:26,2017-02-13 18:40:11,Essential,Important,Essential,Essential,Essential,Essential,Essential,Important,,Essential,Essential,Important,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Partly meets,Does not meet,Fully meets,Does not meet,Partly meets,Partly meets,Mostly meets,Does not meet,,Partly meets,,,Fully meets,,Mostly meets,Fully meets,Partly meets,,,,,,,,,,,,,,1,Essential,Essential,Does not meet,Partly meets,70,,,,,,,,,,,,
W1BLW0000625,2017-02-13 18:31:48,2017-02-13 18:45:11,Important,Beneficial,Essential,Essential,Important,Important,Important,Beneficial,Important,Essential,Essential,Important,Essential,Not relevant,Important,Important,Important,,,,,,,,,,,Does not meet,Partly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Partly meets,Mostly meets,Fully meets,Partly meets,Does not meet,Fully meets,Does not meet,Fully meets,Mostly meets,Fully meets,,,,,,,,,,,,,,1,Beneficial,Important,Partly meets,Does not meet,60,,,,,,,,,,,,
W1BLW0000851,2017-02-13 18:40:11,2017-02-13 18:50:07,Essential,Important,Essential,Essential,Essential,Important,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Mostly meets,Partly meets,Partly meets,Mostly meets,Mostly meets,Partly meets,Partly meets,Mostly meets,Does not meet,Mostly meets,Mostly meets,Does not meet,Partly meets,Mostly meets,Partly meets,Partly meets,Mostly meets,,,,,,,,,,,,,,1,Important,Essential,Mostly meets,Mostly meets,70,,,,,,,,,,,,
W1BLW0000816,2017-02-13 18:46:32,2017-02-13 18:56:46,Essential,Important,Important,Essential,Important,Essential,Important,Beneficial,Important,Important,Essential,Essential,Essential,Essential,Essential,Important,Essential,,,,,,,,,,,Partly meets,Partly meets,Mostly meets,Partly meets,Mostly meets,Fully meets,Mostly meets,Does not meet,Partly meets,Fully meets,Partly meets,Does not meet,Fully meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Important,Important,Does not meet,Partly meets,70,,,,,,,,,,,,
W1BLW0000392,2017-02-13 19:08:37,2017-02-13 19:15:20,Essential,Essential,Important,Essential,Essential,Important,Essential,Beneficial,Essential,Important,Important,Essential,Essential,Essential,Essential,Essential,Important,,,,,,,,,,,Does not meet,Does not meet,Does not meet,Does not meet,Partly meets,Does not meet,Mostly meets,Does not meet,Does not meet,Mostly meets,Does not meet,Mostly meets,Does not meet,Does not meet,Partly meets,Mostly meets,Does not meet,,,,,,,,,,,,,,1,Important,Beneficial,Does not meet,Does not meet,30,,,,,,,,,,,,
